"mun","uf","total","agropecuaria","industria","servicos","adm","s_agropecuaria","s_industria","s_servicos","s_adm"
"Alta Floresta D'Oeste ","RO",397845,146399,20625,98692,132129,0.367979992208021,0.0518417976850281,0.248066458042705,0.332111752064246
"Ariquemes ","RO",1811514,129644,319625,837823,524422,0.0715666563990121,0.176440811387602,0.462498771745623,0.289493760467763
"Cabixi ","RO",111308,50772,3274,20864,36399,0.456139720415424,0.0294138786071082,0.187443849498688,0.327011535558989
"Cacoal ","RO",1607968,166076,204040,794395,443456,0.103283149913431,0.126893072498955,0.494036572867122,0.275786582817569
"Cerejeiras ","RO",334470,47368,21197,173150,92756,0.141621072143989,0.0633748916195772,0.517684695189404,0.277322330851795
"Colorado do Oeste ","RO",268960,68898,24560,81272,94230,0.256164485425342,0.0913146936347412,0.302171326591315,0.350349494348602
"Corumbiara ","RO",183202,96280,9475,26640,50807,0.525540114190893,0.0517188676979509,0.145413259680571,0.277327758430585
"Costa Marques ","RO",179888,59749,4481,35790,79867,0.332145557235613,0.0249099439651339,0.198957128880192,0.443981810904563
"Espigão D'Oeste ","RO",439424,101958,39860,144655,152951,0.232026471016604,0.0907096562773085,0.329192306291873,0.348071566414215
"Guajará-Mirim ","RO",589729,44150,24343,288133,233103,0.0748648955706774,0.0412782820583692,0.488585435004892,0.395271387366061
"Jaru ","RO",1096445,147568,181597,493522,273759,0.13458769021702,0.165623446684512,0.450111040681475,0.249678734455445
"Ji-Paraná ","RO",2371163,129476,348132,1280031,613523,0.054604428291096,0.146819092571873,0.539832563176804,0.258743494226251
"Machadinho D'Oeste ","RO",424907,107448,32747,103841,180870,0.252874158345238,0.0770686291353167,0.244385241947061,0.425669617116216
"Nova Brasilândia D'Oeste ","RO",255648,75500,13260,60985,105903,0.295327950932532,0.0518681937664288,0.238550663412192,0.414253191888847
"Ouro Preto do Oeste ","RO",588549,110228,49779,229185,199358,0.187287719459212,0.0845791939158847,0.389406829337914,0.338727956380862
"Pimenta Bueno ","RO",774125,75422,168234,338531,191939,0.0974287098336832,0.217321492007105,0.437307928306152,0.247943161634103
"Porto Velho ","RO",12130555,448954,3427063,5582594,2671944,0.0370101780174114,0.282514938516828,0.460209281438483,0.220265602027277
"Presidente Médici ","RO",334491,87268,35189,99162,112873,0.260897901587786,0.105201634722608,0.29645640689884,0.337447046407826
"Rio Crespo ","RO",75253,41577,2496,7309,23871,0.552496245996837,0.0331681128991535,0.0971256959855421,0.317209945118467
"Rolim de Moura ","RO",1004758,86437,219263,414568,284490,0.0860276802971462,0.218224686939542,0.412604826236765,0.283142806526547
"Santa Luzia D'Oeste ","RO",130514,49927,12393,22837,45357,0.382541336561595,0.0949553304626324,0.174977397060852,0.347525935914921
"Vilhena ","RO",1824368,94083,362483,889353,478449,0.0515701875937311,0.198689628408304,0.48748552923533,0.262254654762636
"São Miguel do Guaporé ","RO",435154,111819,87011,111006,125318,0.256964201179353,0.199954498867068,0.25509589708471,0.287985402868869
"Nova Mamoré ","RO",361031,138767,17356,69456,135452,0.38436311563273,0.0480734341372347,0.192382371596899,0.375181078633137
"Alvorada D'Oeste ","RO",211550,71426,7990,46200,85934,0.337631765540061,0.0377688489718743,0.218388087922477,0.406211297565587
"Alto Alegre dos Parecis ","RO",202586,87261,9741,32847,72736,0.430735588836346,0.0480832831488849,0.162138548567028,0.359037643272487
"Alto Paraíso ","RO",241034,58966,19290,63245,99532,0.244637685969614,0.0800302032078462,0.262390368163827,0.412937593866425
"Buritis ","RO",482580,133483,29438,136936,182722,0.276602843051929,0.0610012847610759,0.283758133366488,0.378635666625223
"Novo Horizonte do Oeste ","RO",128464,46880,5813,25319,50452,0.364927139120688,0.0452500311371279,0.197090235396687,0.392732594345498
"Cacaulândia ","RO",121018,64444,2585,15599,38390,0.532515824092284,0.0213604587747277,0.128898180435968,0.31722553669702
"Campo Novo de Rondônia ","RO",216586,95657,25735,23665,71527,0.441658278928463,0.118821161109213,0.109263756660172,0.330247569094955
"Candeias do Jamari ","RO",379258,60959,114441,78175,125682,0.160732271962622,0.301749732372158,0.206126172684558,0.331389186253157
"Castanheiras ","RO",64416,35190,1526,5608,22091,0.546292846497765,0.0236897665176354,0.0870591157476403,0.342942747143567
"Chupinguaia ","RO",226117,87238,38143,41593,59142,0.385809116519324,0.168687007168855,0.183944595054773,0.261554858767806
"Cujubim ","RO",267866,65955,44555,51410,105945,0.246223858197756,0.166333166583292,0.19192432036914,0.395514921639924
"Governador Jorge Teixeira ","RO",150237,76775,3357,16150,53955,0.511025912391754,0.0223446953812976,0.107496821688399,0.359132570538549
"Itapuã do Oeste ","RO",135597,36157,15211,30821,53409,0.266650442118926,0.112177998038305,0.227298539053224,0.393880395583973
"Ministro Andreazza ","RO",157253,53252,9352,37747,56902,0.338639008476786,0.0594710434777079,0.240039935645107,0.361850012400399
"Mirante da Serra ","RO",170312,56869,9689,43305,60449,0.333910705058951,0.0568897083000611,0.254268636384988,0.354930950256001
"Monte Negro ","RO",219137,76148,21004,42385,79599,0.347490382728613,0.0958487156436384,0.193417816251934,0.363238522020471
"Nova União ","RO",99492,46227,2369,11006,39890,0.464630322035943,0.0238109596751498,0.110621959554537,0.400936758734371
"Parecis ","RO",81429,40243,2487,8658,30041,0.494209679598178,0.0305419445160815,0.106325756180231,0.36892261970551
"Pimenteiras do Oeste ","RO",76828,47477,2809,8282,18260,0.61796480449836,0.0365621908679127,0.107799239860468,0.23767376477326
"Primavera de Rondônia ","RO",51617,21308,1218,6925,22166,0.412809733227425,0.0235968769978883,0.13416122595269,0.429432163821997
"São Felipe D'Oeste ","RO",75387,29379,1824,10570,33615,0.389709101038641,0.024195153010466,0.140209850504729,0.445899160332683
"São Francisco do Guaporé ","RO",279390,116248,12305,56145,94692,0.416077883961488,0.0440423780378682,0.200955653387738,0.338924084612907
"Seringueiras ","RO",169355,59157,8055,37138,65005,0.349307667326031,0.0475628118449411,0.21929083877063,0.383838682058398
"Teixeirópolis ","RO",76520,32943,4929,10188,28460,0.430514898065865,0.0644145321484579,0.133141662310507,0.37192890747517
"Theobroma ","RO",148764,71082,3279,14794,59609,0.477817213842059,0.0220416229733,0.0994461025516926,0.400695060632949
"Urupá ","RO",175696,70907,6096,33518,65174,0.403577770694837,0.034696293598033,0.190772698297059,0.37094754576086
"Vale do Anari ","RO",113784,38471,4213,15854,55245,0.338105533291148,0.0370262954369683,0.139334177037193,0.485525205652816
"Vale do Paraíso ","RO",120039,57185,3025,15194,44635,0.47638684094336,0.0252001432867651,0.12657552961954,0.371837486150334
"Acrelândia ","AC",206315,83603,13294,29986,79432,0.405220173036376,0.0644354506458571,0.145340862273708,0.385003514044059
"Assis Brasil ","AC",73201,19354,1835,12590,39421,0.264395295146241,0.0250679635524105,0.1719921858991,0.538530894386689
"Brasiléia ","AC",362336,70895,58907,101456,131079,0.19566093349819,0.162575620418617,0.280005298949042,0.361760907003444
"Bujari ","AC",143488,74968,3004,14418,51097,0.522468777876896,0.020935548617306,0.10048227029438,0.356106433987511
"Capixaba ","AC",154802,69703,5642,19342,60116,0.45027196031059,0.0364465575380163,0.124946706114908,0.388341235901345
"Cruzeiro do Sul ","AC",991563,68379,72124,386985,464075,0.0689608224590873,0.072737687872581,0.390277773575658,0.468023716092674
"Epitaciolândia ","AC",249730,39637,9287,110875,89932,0.158719416970328,0.0371881632162736,0.443979497857686,0.360116926280383
"Feijó ","AC",314346,67205,12960,57012,177169,0.213793081508911,0.0412284552690348,0.181367028688133,0.563611434533921
"Jordão ","AC",71763,12361,1694,8496,49212,0.172247537031618,0.0236054791466355,0.118389699427281,0.685757284394465
"Mâncio Lima ","AC",177265,39931,12215,23239,101879,0.225261613967788,0.0689081318929287,0.131097509378614,0.574727103489126
"Manoel Urbano ","AC",110039,20754,4124,33284,51878,0.1886058579231,0.0374776215705341,0.302474577195358,0.471451030998101
"Marechal Thaumaturgo ","AC",160910,36225,3809,14918,105958,0.225125846746629,0.0236716176744764,0.0927102106767758,0.658492324902119
"Plácido de Castro ","AC",244140,70210,41568,29322,103039,0.287580896207094,0.170262963873188,0.120103219464242,0.422048824444991
"Porto Walter ","AC",96103,17900,3107,11375,63722,0.186258493491358,0.0323298960490307,0.118362590137665,0.663059425824376
"Rio Branco ","AC",7311708,168490,919863,4145908,2077447,0.0230438633490287,0.125806856619548,0.567023190751053,0.284126089280371
"Rodrigues Alves ","AC",164477,42926,4239,16032,101280,0.260984818546058,0.0257726004243754,0.0974725949524858,0.615769986077081
"Santa Rosa do Purus ","AC",57108,13807,1240,6055,36006,0.241769979687609,0.0217132450794985,0.106027176577712,0.63048959865518
"Senador Guiomard ","AC",310904,96606,35073,62071,117154,0.310726140544991,0.112809741913903,0.199646836322466,0.37681728121864
"Sena Madureira ","AC",450847,112066,19175,88223,231383,0.248567695914579,0.042531058208217,0.195682792610353,0.513218453266851
"Tarauacá ","AC",386204,76710,10648,81173,217674,0.198625596834833,0.0275709210676223,0.210181665648207,0.563624405754472
"Xapuri ","AC",197284,68746,4358,29839,94341,0.348462115528882,0.0220899819549482,0.151248960888871,0.478198941627299
"Porto Acre ","AC",208115,75521,10606,27141,94847,0.362881099392163,0.0509622083943973,0.130413473320039,0.4557432188934
"Alvarães ","AM",100711,18935,5272,16488,60017,0.1880132259634,0.0523478070915789,0.163715979386562,0.595932916960412
"Amaturá ","AM",65157,9409,2219,10466,43064,0.144405052411867,0.0340562027103765,0.160627407646147,0.66092668477677
"Anamã ","AM",81596,23789,2793,11616,43397,0.291546154223246,0.0342296190989754,0.142359919603902,0.531852051571155
"Anori ","AM",152581,62326,4347,19139,66769,0.408478119818326,0.028489785753141,0.125435014844574,0.437597079583959
"Apuí ","AM",203360,84612,10552,35133,73063,0.416070023603462,0.0518882769472856,0.172762588512982,0.359279110936271
"Atalaia do Norte ","AM",141606,51561,4372,16437,69236,0.364115927291217,0.0308743979774868,0.116075590017372,0.488934084713925
"Autazes ","AM",258624,70005,12191,41733,134695,0.270682535263549,0.0471379299678297,0.161365534521158,0.520814000247463
"Barcelos ","AM",149095,25713,6575,23323,93484,0.172460511754251,0.0440993997115933,0.156430463798249,0.627009624735907
"Barreirinha ","AM",201727,44492,6609,31016,119610,0.220555503229612,0.0327620992727796,0.153752348470953,0.592930049026655
"Benjamin Constant ","AM",238939,31141,10748,43026,154025,0.13033033535756,0.0449821921076091,0.18007106416282,0.644620593540611
"Beruri ","AM",123388,23114,4490,20916,74868,0.18732777903848,0.0363892761046455,0.16951405323046,0.606768891626414
"Boa Vista do Ramos ","AM",100006,16499,3096,15999,64412,0.164980101193928,0.0309581425114493,0.159980401175929,0.644081355118693
"Boca do Acre ","AM",276151,61688,27773,63478,123211,0.223385032102002,0.100571788622891,0.229866993058146,0.446172565009723
"Borba ","AM",254170,51261,9873,46689,146348,0.201679977967502,0.0388440807333674,0.183692017153873,0.575787858519888
"Caapiranga ","AM",133468,59830,4958,17527,51153,0.448272245032517,0.0371474810441454,0.131319866934396,0.383260406988941
"Canutama ","AM",86058,10336,2850,14782,58089,0.120105045434474,0.0331172000278882,0.17176787747798,0.674998256989472
"Carauari ","AM",244827,76155,15989,50789,101895,0.311056378585695,0.0653073394682776,0.20744852487675,0.4161918415861
"Careiro ","AM",240533,59658,11351,40558,128966,0.248024179634395,0.0471910299210503,0.168617195977267,0.536167594467287
"Careiro da Várzea ","AM",265556,136540,8747,21375,98895,0.514166503487023,0.0329384385967555,0.0804914970853605,0.372407326514935
"Coari ","AM",2169467,102934,1235052,484246,347235,0.0474466769948563,0.569288216875389,0.223209663940498,0.160055442189257
"Codajás ","AM",734587,599498,8230,31526,95333,0.816102109076256,0.0112035742532879,0.0429166320667259,0.12977768460373
"Eirunepé ","AM",402449,220298,10772,44044,127335,0.547393582789372,0.0267661244033405,0.109439953882355,0.316400338924932
"Envira ","AM",127645,31455,4591,20386,71214,0.246425633593169,0.035966939558933,0.159708566728035,0.557906694347605
"Fonte Boa ","AM",153116,29462,5943,28016,89696,0.19241620731994,0.0388137098670289,0.182972386948457,0.585804226860681
"Guajará ","AM",105104,22930,3490,16500,62183,0.218164865276298,0.0332052062718831,0.156987364895722,0.591633049170346
